,County,Year,ShelterID,BusName,City,Zip,License Type,DogSold,PupSold,CatSold,KitSold,ExoticSold,BegInvDog,DogRec,DogAdopt,DogReclaim,DogEuth,EndInvDogs,BegInvCat,CatRec,CatsAdopt,CatsReclaim,CatEuth,EndInvCats,BegInvOther,OtherRec,OtherAdopt,OtherReclaim,OtherEuth,EndInvOther,AllRec,AllAdopt,AllReclaim,AllEuth
2131,Tazewell,2014,13939,Australian Shepherd Rescue Midwest,East Peoria,61611-1285,Animal Shelter,83,11,,,,38,62,83,3,1,15,,,,,,,,,,,,,62,83,3,1
2132,Tazewell,2014,408,Tazewell Animal Protective Society,Pekin,61554-2007,Animal Shelter,,,,,0,71,740,750,2,0,59,118,592,624,3,0,83,0,0,0,0,0,0,1332,1374,5,0
2133,Tazewell,2014,4246,Tazewell County Animal Control,Tremont,61568-0158,Animal Control Facility,,,,,,5,824,167,372,267,11,15,713,170,35,502,10,0,226,161,3,43,0,1763,498,410,812
2134,Tazewell,2013,13939,"Australian Shepherd Rescue Midwest, Inc.",Washington,61571,,41,11,0,0,0,15,93,52,0,3,37,,,,,,,,,,,,,93,52,0,3
2135,Tazewell,2013,408,Tazewell Animal Protective Society,Pekin,61554,Animal Shelter,660,226,164,232,0,60,780,767,4,5,62,77,413,364,0,1,119,0,0,0,0,0,0,1193,1131,4,6
2136,Union,2012,13872,Cache Creek Animal Rescue,Anna,62906,,,,,,,,772,592,10,74,28,,256,222,0,23,11,0,,,,,,1028,814,10,97
2137,Union,2010,13872,Cache Creek Animal Rescue,Anna,62906,Animal Shelter,,,,,,,673,513,18,34,,,199,168,0,27,,,1,1,,,,873,682,18,61
2138,Union,2011,13872,Cache Creek Animal Rescue,Anna,62906,Animal Shelter,,,,,,0,802,655,9,20,118,,104,95,,7,2,,,,,,,906,750,9,27
2139,Union,2012,10036,Paws' Place Adoption Center,Anna,62906,Animal Shelter,,,,,,50,326,318,3,2,33,20,60,46,0,1,33,,,,,,,386,364,3,3
2140,Union,2010,10036,Paws' Place Adoption Center,Anna,62906,Animal Shelter,,,,,,,300,237,0,0,,,52,36,0,0,,,0,0,0,0,,352,273,0,0
2141,Union,2011,10036,Paws' Place Adoption Center,Anna,62906,Animal Shelter,,,,,,70,305,318,5,0,52,27,51,54,0,0,24,2,1,0,0,0,3,357,372,5,0
2142,Union,2012,7641,Union County Animal Control,Cobden,62920,Animal Control,,,,,,18,376,56,65,22,13,42,252,30,,30,32,2,4,3,1,,0,632,89,66,52
2143,Union,2010,7641,Union County Animal Control,Cobden,62920,Animal Control,,,,,,,302,40,62,79,,,104,1,3,62,,,7,70,7,0,,413,111,72,141
2144,Union,2011,7641,Union County Animal Control,Cobden,62920,Animal Control,0,0,0,0,0,,,42,34,43,16,,,74,0,55,11,,12,2,9,0,1,12,118,43,98
2145,Union,2013,7641,Union County Animal Control,Cobden,62920,Animal Control,,,,,,18,320,42,27,15,20,42,108,20,3,5,58,0,4,0,4,,0,432,62,34,20
2146,Union,2014,13872,Cache Creek Animal Rescue,Anna,62906-3093,Animal Shelter,,,,,,83,532,473,3,7,73,11,38,40,0,2,7,0,0,0,0,0,0,570,513,3,9
2147,Union,2014,10036,Paws' Place Adoption Center,Anna,62906-0235,Animal Shelter,,,,,,59,271,298,3,1,55,29,57,61,0,1,24,1,0,0,0,0,1,328,359,3,2
2148,Union,2014,7641,Union County Animal Control,Cobden,62920-3739,,,,,,,20,185,31,52,10,14,58,138,31,1,7,57,0,11,10,1,0,0,334,72,54,17
2149,Union,2013,13872,Cache Creek Animal Rescue,Anna,62906,,,,,,0,83,603,583,14,17,72,0,68,64,0,0,4,,,,,,,671,647,14,17
2150,Vermilion,2012,13949,Citizens For Animal Rescue And Adoption,Tilton,61833,Animal Shelter,34,39,33,17,,23,73,73,14,0,23,297,174,50,5,0,416,0,1,0,0,0,1,248,123,19,0
2151,Vermilion,2011,13949,Citizens For Animal Rescue And Adoption,Tilton,61833,,66,76,44,46,,20,157,142,15,0,22,267,218,90,4,0,291,0,0,0,0,0,0,375,232,19,0
2152,Vermilion,2010,13949,Citizens For Animal Rescue And Adoption,Tilton,61833,Animal Shelter,49,56,86,66,0,,105,105,0,0,,,294,152,4,0,,,0,0,0,0,,399,257,4,0
2153,Vermilion,2012,14322,City of Hoopeston,Hoopeston,60942,Animal Control,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2154,Vermilion,2012,415,Humane Society Of Danville,Danville,61832,Animal Shelter,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2155,Vermilion,2011,415,Humane Society Of Danville,Danville,61832,Animal Shelter,,,,,,37,942,235,,363,34,32,783,108,,530,14,0,15,11,1,,0,1740,354,1,893
2156,Vermilion,2010,415,Humane Society Of Danville,Danville,61832,Animal Shelter,,,,,,,824,194,301,329,,,716,93,30,570,,,11,5,0,6,,1551,292,331,905
2157,Vermilion,2012,5202,Vermilion County Animal Shelter,Danville,61834,Animal Control,184,149,66,48,0,25,1158,338,226,203,95,38,975,114,17,469,120,0,119,0,0,11,0,2252,452,243,683
2158,Vermilion,2010,5202,Vermilion County Animal Shelter,Danville,61834,Animal Control,,,,,,,1198,629,203,294,,,1235,517,22,632,,,88,10,1,12,,2521,1156,226,938
2159,Vermilion,2011,5202,Vermilion County Animal Shelter,Danville,61834,Animal Control,348,363,141,241,4,58,1345,711,314,340,38,23,1273,387,25,793,96,0,89,34,30,25,0,2707,1132,369,1158
2160,Vermilion,2013,5202,Vermilion County Animal Shelter,Danville,61834,Animal Control,194,235,40,68,0,93,958,429,187,136,182,102,918,108,16,477,326,0,30,0,0,0,0,1906,537,203,613
2161,Vermilion,2013,14322,City of Hoopeston,Hoopeston,60942,Animal Control,0,0,0,0,0,0,152,2,52,0,0,0,141,6,11,4,0,0,4,2,,1,0,297,10,63,5
2162,Vermilion,2014,415,Humane Society of Danville,Danville,61832-3110,Animal Shelter,40,3,40,0,0,21,65,79,0,0,7,19,45,49,0,0,15,0,0,0,0,0,0,110,128,0,0
2163,Vermilion,2014,14322,City of Hoopeston,Hoopeston,60942-1100,Animal Control Facility,,,,,,5,196,22,54,0,21,9,259,45,7,17,74,0,29,6,0,0,0,484,73,61,17
2164,Vermilion,2014,5202,Vermilion County Animal Shelter,Danville,61834-5117,Animal Control Facility,241,120,91,52,0,89,1300,361,299,180,92,64,1031,143,19,385,72,0,74,5,0,69,0,2405,509,318,634
2165,Vermilion,2013,13949,Citizens for Animal Rescue and Adoption,Tilton,61833,Animal Shelter,30,24,23,34,0,23,63,54,13,0,19,416,178,57,6,0,531,1,,,,,1,241,111,19,0
2166,Vermilion,2013,415,Humane Society of Danville,Danville,61832,Animal Shelter,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2167,Vermilion,2013,14591,Parrot Place,Georgetown,61846,Animal Shelter,,,,,,,,,,,,,,,,,,6,30,29,0,0,7,30,29,0,0
2168,Vermillion,2014,13949,Citizens for Animal Rescue and Adoption,Tilton,61833,Animal Shelter,32,26,57,32,,19,59,58,4,0,16,531,87,89,2,0,527,,,,,,,146,147,6,0
2169,Wabash,2012,418,Wabash County Animal Control,Mt. Carmel,62863,,,,,,,,492,93,30,2,,,231,113,2,8,,,,,,1,,723,206,32,11
2170,Wabash,2011,418,Wabash County Animal Control,Mt. Carmel,62863,,,,,,,18,481,86,32,9,16,22,232,116,2,4,17,,,,,,,713,202,34,13
2171,Wabash,2010,418,Wabash County Animal Control,Mt. Carmel,62863,,,,,,,,354,77,37,2,,,244,93,3,4,,,,,,,,598,170,40,6
2172,Wabash,2013,418,Wabash County Animal Control,Mt. Carmel,62863,Animal Control,,,,,,473,473,87,34,3,,237,237,126,2,3,,,,,,1,,710,213,36,7
2173,Wabash,2014,418,Wabash County Animal Control,Mount Carmel,62863-4413,Animal Control Facility,,,,,,301,301,21,43,3,,325,325,60,2,8,,0,,,,,,626,81,45,11
2174,Warren,2012,2945,Warren County Dog Pound,Monmouth,61462,,,,,,,5,206,50,141,7,3,5,53,23,3,12,4,0,2,2,0,0,0,261,75,144,19
2175,Warren,2010,2945,Warren County Dog Pound,Monmouth,61462,Animal Control,,,,,,,241,83,127,11,,,225,180,2,41,,,,,,,,466,263,129,52
2176,Warren,2011,2945,Warren County Dog Pound,Monmouth,61462,Animal Control,,,,,,8,194,79,106,11,6,4,68,71,0,1,0,0,1,1,0,0,0,263,151,106,12
2177,Warren,2012,10075,Western Illinois Animal Rescue Inc.,Monmouth,61462,Animal Shelter,,,,,,0,19,16,0,1,2,3,50,15,2,3,33,0,0,0,0,0,0,69,31,2,4
2178,Warren,2010,10075,Western Illinois Animal Rescue Inc.,Monmouth,61462,Animal Shelter,,,,,,,60,40,,5,,,75,30,,15,,,,,,, ,135,70,0,20
2179,Warren,2011,10075,Western Illinois Animal Rescue Inc.,Monmouth,61462,Animal Shelter,,,,,,,30,30,,,,,60,51,1,5,3,,,,,, ,90,81,1,5
2180,Warren,2013,2945,Warren County Dog Pound,Monmouth,61462,Animal Control,,,,,,2,126,45,70,8,3,5,148,140,2,5,6,0,1,0,1,0,0,275,185,73,13
2181,Warren,2014,10075,"Western Illinois Animal Rescue, Inc.",Monmouth,61462-1433,Animal Shelter,,,,,,3,30,28,1,2,2,58,75,65,0,3,65,0,0,0,0,0,0,105,93,1,5
2182,Warren,2014,2945,Warren County Dog Pound,Monmouth,61462-1761,Animal Control Facility,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2183,Warren,2013,10075,"Western Illinois Animal Rescue, Inc.",Monmouth,61462,Animal Shelter,,,,,,2,21,17,0,1,3,33,90,60,0,5,58,0,0,0,0,0,0,111,77,0,6
2184,Washington,2010,13720,Animal Rescue of Southern Illinois,Hoyleton,62803,Animal Shelter,,,,,,,113,99,,,,,6,2,,1,,,,,,, ,119,101,0,1
2185,Washington,2010,13720,Animal Rescue of Southern Illinois,Hoyleton,62803,Animal Shelter,,,,,,13,57,44,,,,1,2,1,,,,,,,,, ,59,45,0,0
2186,Washington,2012,3796,Washington County Animal Control,Nashville,62263,Animal Control,0,0,0,0,0,0,294,210,78,6,0,0,399,397,,2,0,0,,,,,0,693,607,78,8
2187,Washington,2012,3796,Washington County Animal Control,Nashville,62263,Animal Control,0,0,0,0,0,0,294,210,78,6,0,0,399,397,,2,0,0,,,,,0,693,607,78,8
2188,Washington,2010,3796,Washington County Animal Control,Nashville,62263,Animal Control,,,,,,,283,201,75,7,,,212,208,1,3,,,,,,, ,495,409,76,10
2189,Washington,2011,3796,Washington County Animal Control,Nashville,62263,Animal Control,,,,,,0,337,253,70,14,0,0,312,298,12,2,0,0,,,,,0,649,551,82,16
2190,Washington,2013,3796,Washington County Animal Control,Nashville,62263,Animal Control,,,,,0,7,197,134,55,8,7,0,332,330,0,2,0,0,0,0,0,0,0,529,464,55,10
2191,Washington,2014,13720,Animal Rescue of Southern Illinois,Hoyleton,62803-0075,Animal Shelter,,,,,,7,22,15,,,,14,83,69,,,,,,,,,,105,84,0,0
2192,Washington,2014,3796,Washington County Animal Control,Nashville,62263-0209,Animal Control Facility,,,,,,0,368,191,176,1,0,0,84,83,0,1,0,0,0,0,0,0,0,452,274,176,2
2193,Washington,2013,13720,Animal Rescue of Southern Illinois,Hoyleton,62803,,,,,,,9,30,21,,,,10,107,97,,,,,,,,,,137,118,0,0
2194,Wayne,2012,7575,Wayne County Humane Society,Fairfield,62837,Animal Shelter,,,,,,28,573,369,81,122,29,13,561,217,10,333,14,13,,12,1,,0,1134,598,92,455
2195,Wayne,2010,7575,Wayne County Humane Society,Fairfield,62837,Animal Shelter,,,,,,,564,121,65,80,,,512,45,1,466,,,,,,, ,1076,166,66,546
2196,Wayne,2011,7575,Wayne County Humane Society,Fairfield,62837,Animal Shelter,,,,,,26,569,111,64,117,36,37,300,60,,256,21,,,,,, ,869,171,64,373
2197,Wayne,2014,7575,Wayne County Humane Society,Fairfield,62837-0254,Animal Shelter,215,52,71,24,5,22,411,215,92,82,22,60,279,71,1,158,49,0,5,5,,,0,695,291,93,240
2198,Wayne,2013,7575,Wayne County Humane Society,Fairfield,62837,,137,36,21,91,0,29,407,173,96,145,22,14,294,112,3,33,60,0,0,0,0,0,0,701,285,99,178
2199,White,2012,3791,Carmi City Dog Pound,Carmi,62821,Animal Control,,,,,,0,164,40,90,35,1,0,0,0,0,0,0,0,0,0,0,0,0,164,40,90,35
2200,White,2010,3791,Carmi City Dog Pound,Carmi,62821,Animal Control,0,0,0,0,0,,304,100,84,120,,,0,0,0,0,,,0,0,0,0, ,304,100,84,120
2201,White,2011,3791,Carmi City Dog Pound,Carmi,62821,Animal Control,,,,,,0,192,41,103,51,0,,,,,,,,,,,,,192,41,103,51
2202,White,2012,7123,Grayville City Dog Pound,Grayville,62844,,,,,,,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0
2203,White,2010,7123,Grayville City Dog Pound,Grayville,62844,Animal Control,0,0,0,0,0,,32,0,32,0,,,0,0,0,0,,,0,0,0,0, ,32,0,32,0
2204,White,2011,7123,Grayville City Dog Pound,Grayville,62844,Animal Control,0,0,0,0,0,,17,1,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,13,3
2205,White,2013,3791,Carmi City Dog Pound,Carmi,62821,Animal Control,0,0,0,0,0,1,146,44,84,14,4,,,,,,,,,,,,,146,44,84,14
2206,White,2013,7123,Grayville City Dog Pound,Grayville,62844,Animal Control,,,,,,0,8,5,3,,,,,,,,,,,,,,,8,5,3,0
2207,White,2014,3791,Carmi City Dog Pound,Carmi,62821-1860,Animal Control Facility,0,0,0,0,0,0,144,46,68,30,0,,,,,,,,,,,,,144,46,68,30
2208,White,2014,7123,Grayville City Dog Pound,Grayville,65844-1509,Animal Control Facility,,,,,,0,7,,7,,,0,,,,,0,0,,,,,0,7,0,7,0
2209,Whiteside,2012,14197,Furry Monster Rescue,Sterling,61081,Animal Shelter,65,175,0,0,0,0,272,240,0,4,28,0,,,,,0,0,,,,,0,272,240,0,4
2210,Whiteside,2012,11755,Happy Tails Inc.,Rock Falls,61071,Animal Shelter,,,,,,31,35,56,0,2,8,132,110,153,0,4,85,,,,,,,145,209,0,6
2211,Whiteside,2010,11755,Happy Tails Inc.,Rock Falls,61071,Animal Shelter,,,,,,,40,20,15,3,,,20,50,2,6,,,,,,,,60,70,17,9
2212,Whiteside,2012,10093,Village of Tampico,Tampico,61283,Animal Control,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2213,Whiteside,2010,10093,Village of Tampico,Tampico,61283,Animal Control,,,,,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,0,0,0,0
2214,Whiteside,2011,10093,Village of Tampico,Tampico,61283,Animal Control,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2215,Whiteside,2012,7583,Whiteside County Pound,Rock Falls,61071,Animal Control,,,,,,0,393,23,217,125,0,0,182,2,12,146,0,,,,,,,575,25,229,271
2216,Whiteside,2010,7583,Whiteside County Pound,Rock Falls,61071,Animal Control,,,,,,,518,32,244,206,,,252,9,5,198,,,,,,,,770,41,249,404
2217,Whiteside,2011,7583,Whiteside County Pound,Rock Falls,61071,Animal Control,,,,,,,522,33,269,216,,,240,3,4,236,,,,,,,,762,36,273,452
2218,Whiteside,2013,14499,Pat's Puppies,Prophetstown,61277,Kennel Operator,,5,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2219,Whiteside,2013,10093,Village of Tampico,Tampico,61283,Animal Control,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2220,Whiteside,2013,7583,Whiteside County Pound,Rock Falls,61071,Animal Control,,,,,,,352,43,185,93,,,182,5,4,126,,,,,,,,534,48,189,219
2221,Whiteside,2014,11755,"Happy Tails, Inc.",Rock Falls,61071-3213,Animal Shelter,0,0,0,0,0,12,97,88,0,0,7,36,185,172,0,10,32,,,,,,,282,260,0,10
2222,Whiteside,2014,10093,Village of Tampico,Tampico,61283-0219,Animal Control Facility,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2223,Whiteside,2014,7583,Whiteside County Pound,Rock Falls,61071-3144,Animal Control Facility,,,,,,,346,26,175,138,,,208,2,4,190,,,,,,,,554,28,179,328
2224,Whiteside,2013,11755,"Happy Tails, Inc.",Rock Falls,61071,Animal Shelter,0,0,0,0,0,12,95,92,1,0,14,86,157,194,0,0,49,,,,,,,252,286,1,0
2225,Will,2012,14286,All Herding Breed Rescue Of Illinois,Joliet,60432,Animal Shelter,,,,,,0,334,284,0,3,47,,,,,,,,,,,,,334,284,0,3
2226,Will,2012,13677,Aloha (A Love Of Homeless Animals),Bolingbrook,60490,Animal Shelter,,37,,,,,47,37,,3,7,,,,,,,,,,,,,47,37,0,3
2227,Will,2010,13677,Aloha (A Love Of Homeless Animals),Bolingbrook,60490,Animal Shelter,,,,,,,18,18,0,0,,,20,20,0,0,,,0,0,0,0,,38,38,0,0
2228,Will,2011,13677,Aloha (A Love Of Homeless Animals),Bolingbrook,60490,Animal Shelter,2,45,,,,,47,47,,,0,,,,,,,,,,,,,47,47,0,0
2229,Will,2012,13826,Angels On Wheels Animal Rescue NFP,Naperville,60564,Animal Shelter,55,123,4,48,,5,185,178,,,7,1,53,53,,,1,,,,,, ,238,231,0,0
2230,Will,2010,13826,Angels On Wheels Animal Rescue NFP,Naperville,60564,,11,58,3,62,0,,74,69,,,,,66,65,0,0,,,0,0,0,0,0,140,134,0,0
2231,Will,2011,13826,Angels On Wheels Animal Rescue NFP,Naperville,60564,Animal Shelter,32,110,4,70,,143,143,142,,1,,78,78,74,,2,2,,,,,, ,221,216,0,3
2232,Will,2012,12078,Bernese Mountain Dog Club of NI Rescue,Shorewood,60431,Animal Shelter,9,,,,,0,9,8,,1,0,,,,,,,,,,,,,9,8,0,1
2233,Will,2010,12078,Bernese Mountain Dog Club of NI Rescue,Shorewood,60431,Animal Shelter,6,,,,,,6,6,0,0,,,,,,,,,,,,,,6,6,0,0
2234,Will,2011,12078,Bernese Mountain Dog Club of NI Rescue,Shorewood,60431,Animal Shelter,3,,,,,0,3,3,0,0,0,,,,,,,,,,,,,3,3,0,0
2235,Will,2012,4530,Bolingbrook Animal Control & Care,Bolingbrook,60440,Animal Control,0,0,0,0,0,5,347,75,214,20,3,3,162,137,14,45,17,0,,,,,0,509,212,228,65
2236,Will,2010,4530,Bolingbrook Animal Control & Care,Bolingbrook,60440,Animal Control,0,0,0,0,0,,410,70,305,11,,,221,123,11,22,,,12,12,0,0, ,643,205,316,33
2237,Will,2011,4530,Bolingbrook Animal Control & Care,Bolingbrook,60440,Animal Control,,,,,,3,448,95,279,16,5,5,244,130,10,47,3,1,6,2,0,4,0,698,227,289,67
2238,Will,2012,10409,C.O.P.E.,Joliet,60431,Animal Shelter,2,0,40,10,0,2,2,2,0,0,2,20,50,45,0,0,25,0,0,0,0,0,0,52,47,0,0
2239,Will,2010,10409,C.O.P.E.,Joliet,60431,Animal Shelter,,,,,,,2,2,0,0,,,82,75,2,1,,,0,0,0,0, ,84,77,2,1
2240,Will,2011,10409,C.O.P.E.,Joliet,60431,Animal Shelter,,,,,,4,0,0,0,2,2,85,40,41,0,4,80,0,0,0,0,0,0,40,41,0,6
2241,Will,2012,13679,Critter Corral Guinea Pig Rescue,Crete,60417,Animal Shelter,,,,,,,,,,,,,,,,,,168,279,292,,28,127,279,292,0,28
2242,Will,2010,13679,Critter Corral Guinea Pig Rescue,Crete,60417,Animal Shelter,,,,,,,,,,,,,,,,,,,200,175,,5, ,200,175,0,5
2243,Will,2011,13679,Critter Corral Guinea Pig Rescue,Crete,60417,Animal Shelter,,,,,,,,,,,,,,,,,,,200,0,0,5,175,200,0,0,5
2244,Will,2012,13662,Crossroads Shih Tzu Rescue Inc.,New Lenox,60451,Animal Shelter,0,0,0,0,0,52,75,56,0,3,62,,,,,,,,,,,,,75,56,0,3
2245,Will,2010,13662,Crossroads Shih Tzu Rescue Inc.,New Lenox,60451,Animal Shelter,,,,,,,85,78,0,2,,,0,0,0,0,,,0,0,0,0,,85,78,0,2
2246,Will,2011,13662,Crossroads Shih Tzu Rescue Inc.,New Lenox,60451,Animal Shelter,,,,,,39,87,82,0,0,27,,,,,,,,,,,,,87,82,0,0
2247,Will,2012,14257,Disaster Dogs Dog Rescue Inc.,Joliet,60435,Animal Shelter,11,1,,,,0,20,12,0,1,8,,,,,,,,,,,,,20,12,0,1
2248,Will,2010,13853,Dog Saving Network,Crete,60417,Animal Shelter,,,,,,,3,3,0,0,,,,,,,,,,,,,,3,3,0,0
2249,Will,2012,13632,English Springer Rescue America Inc.,New Lenox,60451,Animal Shelter,,,,,,,,65,,,,,,,,,,,,,,,,0,65,0,0
2250,Will,2010,13632,English Springer Rescue America Inc.,New Lenox,60451,Animal Shelter,,,,,,,88,83,,1,,,,,,,,,,,,,,88,83,0,1
2251,Will,2011,13632,English Springer Rescue America Inc.,New Lenox,60451,Animal Shelter,,,,,,62,,60,,2,0,,,,,,,,,,,,,0,60,0,2
2252,Will,2012,4363,Frankfort TWP. Animal Control,Frankfort,60423,Animal Control,,,,,,,115,15,99,1,,,49,32,11,6,,,9,3,2,4,,173,50,112,11
2253,Will,2010,4363,Frankfort TWP. Animal Control,Frankfort,60423,Animal Control,,,,,,,190,20,170,0,,,45,27,8,10,,,15,0,0,15,,250,47,178,25
